protocol,round,total_energy_consumed,average_remaining_energy,alive_nodes,generated_packets,delivered_packets,packet_delivery_ratio,average_delay,network_lifetime
Traditional RPL,1,0.63962,1.97868,30,30,7,0.23333,4.15619,80
Traditional RPL,2,1.24538,1.95849,30,30,5,0.16667,9.32264,80
Traditional RPL,3,1.82164,1.93928,30,30,10,0.33333,11.75088,80
Traditional RPL,4,2.35815,1.92139,30,30,4,0.13333,13.77985,80
Traditional RPL,5,2.91219,1.90293,30,30,6,0.20000,14.38117,80
Traditional RPL,6,3.43597,1.88547,30,30,3,0.10000,14.24849,80
Traditional RPL,7,3.94659,1.86845,30,30,6,0.20000,14.47398,80
Traditional RPL,8,4.50207,1.84993,30,30,11,0.36667,17.89889,80
Traditional RPL,9,5.03938,1.83202,30,30,2,0.06667,14.21022,80
Traditional RPL,10,5.52410,1.81586,30,30,2,0.06667,17.27398,80
Traditional RPL,11,6.02084,1.79931,30,30,4,0.13333,17.95713,80
Traditional RPL,12,6.51293,1.78290,30,30,5,0.16667,16.76345,80
Traditional RPL,13,7.00678,1.76644,30,30,3,0.10000,16.23709,80
Traditional RPL,14,7.49261,1.75025,30,30,4,0.13333,17.23847,80
Traditional RPL,15,8.03878,1.73204,30,30,4,0.13333,16.49408,80
Traditional RPL,16,8.51664,1.71611,30,30,1,0.03333,15.10427,80
Traditional RPL,17,9.05913,1.69803,30,30,2,0.06667,17.90950,80
Traditional RPL,18,9.54610,1.68180,30,30,3,0.10000,18.88904,80
Traditional RPL,19,10.02324,1.66589,30,30,4,0.13333,16.95819,80
Traditional RPL,20,10.54139,1.64862,30,30,3,0.10000,17.27957,80
Traditional RPL,21,11.06135,1.63129,30,30,4,0.13333,17.82672,80
Traditional RPL,22,11.57251,1.61425,30,30,4,0.13333,19.94776,80
Traditional RPL,23,12.09100,1.59697,30,30,5,0.16667,18.12839,80
Traditional RPL,24,12.59158,1.58028,30,30,1,0.03333,14.68858,80
Traditional RPL,25,13.12638,1.56245,30,30,6,0.20000,18.78783,80
Traditional RPL,26,13.63889,1.54537,30,30,4,0.13333,18.39667,80
Traditional RPL,27,14.12980,1.52901,30,30,2,0.06667,15.32750,80
Traditional RPL,28,14.60077,1.51331,30,30,3,0.10000,17.58414,80
Traditional RPL,29,15.04963,1.49835,30,30,3,0.10000,14.89393,80
Traditional RPL,30,15.58371,1.48054,30,30,4,0.13333,20.34564,80
Traditional RPL,31,16.03372,1.46554,30,30,1,0.03333,14.45587,80
Traditional RPL,32,16.52114,1.44930,30,30,6,0.20000,16.36418,80
Traditional RPL,33,17.01855,1.43271,30,30,3,0.10000,14.26836,80
Traditional RPL,34,17.48013,1.41733,30,30,3,0.10000,16.03113,80
Traditional RPL,35,18.00865,1.39971,30,30,3,0.10000,16.28898,80
Traditional RPL,36,18.51067,1.38298,30,30,6,0.20000,16.53306,80
Traditional RPL,37,19.04941,1.36502,30,30,5,0.16667,14.94322,80
Traditional RPL,38,19.49344,1.35022,30,30,2,0.06667,14.53774,80
Traditional RPL,39,20.03999,1.33200,30,30,1,0.03333,15.64208,80
Traditional RPL,40,20.58326,1.31389,30,30,4,0.13333,16.37453,80
Traditional RPL,41,21.08512,1.29716,30,30,3,0.10000,15.13515,80
Traditional RPL,42,21.57720,1.28076,29,30,7,0.23333,16.89571,80
Traditional RPL,43,22.10089,1.26330,29,29,4,0.13793,17.12284,80
Traditional RPL,44,22.59956,1.24668,29,29,3,0.10345,18.38074,80
Traditional RPL,45,23.09486,1.23017,29,29,2,0.06897,15.12031,80
Traditional RPL,46,23.61887,1.21270,29,29,1,0.03448,14.91476,80
Traditional RPL,47,24.12810,1.19573,29,29,2,0.06897,23.17081,80
