packet_id,protocol,source_sensor_id,temperature,generation_time,hop_number,current_node,selected_parent,link_quality,queue_load,energy_before,energy_after,hop_delay,packet_status
RPL-00001,Traditional RPL,1,29.59140,0.00000,1,1,25,0.75848,1.00000,2.00000,1.98546,1.41152,lost
RPL-00002,Traditional RPL,2,24.12544,0.00000,1,2,18,0.81786,1.00000,2.00000,1.98524,1.35214,forwarded
RPL-00002,Traditional RPL,2,24.12544,0.00000,2,18,0,0.95000,1.00000,1.99600,1.98786,1.22000,delivered
RPL-00003,Traditional RPL,3,30.15049,0.00000,1,3,0,0.90000,2.00000,2.00000,1.98731,1.42000,delivered
RPL-00004,Traditional RPL,4,21.30408,0.00000,1,4,13,0.46446,1.00000,2.00000,1.98865,1.70554,forwarded
RPL-00004,Traditional RPL,4,21.30408,0.00000,2,13,25,0.70848,2.00000,1.99600,1.98220,1.61152,lost
RPL-00005,Traditional RPL,5,23.27957,0.00000,1,5,26,0.63182,1.00000,2.00000,1.99072,1.53818,forwarded
RPL-00005,Traditional RPL,5,23.27957,0.00000,2,26,0,0.85000,3.00000,1.99600,1.98239,1.62000,lost
RPL-00006,Traditional RPL,6,22.98256,0.00000,1,6,0,0.80000,4.00000,2.00000,1.98783,1.82000,delivered
RPL-00007,Traditional RPL,7,28.17412,0.00000,1,7,26,0.58182,2.00000,2.00000,1.98528,1.73818,forwarded
RPL-00007,Traditional RPL,7,28.17412,0.00000,2,26,0,0.75000,5.00000,1.97839,1.96478,2.02000,delivered
RPL-00008,Traditional RPL,8,32.14146,0.00000,1,8,0,0.70000,6.00000,2.00000,1.99140,2.22000,lost
RPL-00009,Traditional RPL,9,32.08729,0.00000,1,9,0,0.65000,7.00000,2.00000,1.98738,2.42000,delivered
RPL-00010,Traditional RPL,10,25.10376,0.00000,1,10,1,0.45497,1.00000,2.00000,1.99109,1.71503,forwarded
RPL-00010,Traditional RPL,10,25.10376,0.00000,2,1,25,0.65848,3.00000,1.98146,1.96692,1.81152,forwarded
RPL-00010,Traditional RPL,10,25.10376,0.00000,3,25,0,0.60000,8.00000,1.98800,1.97860,2.62000,delivered
RPL-00011,Traditional RPL,11,21.39119,0.00000,1,11,8,0.79352,1.00000,2.00000,1.98988,1.37648,forwarded
RPL-00011,Traditional RPL,11,21.39119,0.00000,2,8,0,0.55000,9.00000,1.98740,1.97880,2.82000,delivered
RPL-00012,Traditional RPL,12,29.05589,0.00000,1,12,26,0.53182,3.00000,2.00000,1.99275,1.93818,forwarded
