time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
0.0,0.6495977595423241,1.9783467413485891,30,29,0,30,15,15,0.5,4.731513678478703,51,0,RL-00030,30,26.882777788810984,30 -> 18 -> 0,lost
1.0,0.6495977595423241,1.9783467413485891,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
2.0,0.6495977595423241,1.9783467413485891,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
3.0,0.6495977595423241,1.9783467413485891,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
4.0,0.6495977595423241,1.9783467413485891,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
5.0,1.267881778505334,1.9577372740498222,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,2,RL-00060,30,23.37046005547336,30 -> 18 -> 0,lost
6.0,1.267881778505334,1.9577372740498222,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,2,,,,,
7.0,1.267881778505334,1.9577372740498222,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,2,,,,,
8.0,1.267881778505334,1.9577372740498222,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,2,,,,,
9.0,1.267881778505334,1.9577372740498222,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,2,,,,,
10.0,1.8575940240856994,1.9380801991971432,30,29,0,90,27,63,0.3,7.526775956198115,146,5,RL-00090,30,21.201671978608804,30 -> 18 -> 0,lost
11.0,1.8575940240856994,1.9380801991971432,30,29,0,90,27,63,0.3,7.526775956198115,146,5,,,,,
12.0,1.8575940240856994,1.9380801991971432,30,29,0,90,27,63,0.3,7.526775956198115,146,5,,,,,
13.0,1.8575940240856994,1.9380801991971432,30,29,0,90,27,63,0.3,7.526775956198115,146,5,,,,,
14.0,1.8575940240856994,1.9380801991971432,30,29,0,90,27,63,0.3,7.526775956198115,146,5,,,,,
15.0,2.4678421846270737,1.9177385938457643,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,8,RL-00120,30,24.623875248952004,30 -> 18 -> 0,delivered
16.0,2.4678421846270737,1.9177385938457643,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,8,,,,,
17.0,2.4678421846270737,1.9177385938457643,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,8,,,,,
18.0,2.4678421846270737,1.9177385938457643,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,8,,,,,
19.0,2.4678421846270737,1.9177385938457643,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,8,,,,,
20.0,3.067767883127324,1.8977410705624225,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,10,RL-00150,30,24.50483402316896,30 -> 18 -> 0,lost
21.0,3.067767883127324,1.8977410705624225,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,10,,,,,
22.0,3.067767883127324,1.8977410705624225,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,10,,,,,
23.0,3.067767883127324,1.8977410705624225,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,10,,,,,
