time,protocol,node_id,candidate_parent,energy_ratio,distance_ratio,queue_ratio,link_quality,Q_value,state_value,selection_value,selected_parent,reward,updated_Q_value,decision_mode
0.00000,Traditional RPL,1,5,1.00000,0.47664,0.00000,0.52336,,0.52336,0.52336,25,,,traditional
0.00000,Traditional RPL,1,12,1.00000,0.37976,0.00000,0.62024,,0.62024,0.62024,25,,,traditional
0.00000,Traditional RPL,1,25,1.00000,0.19152,0.00000,0.80848,,0.80848,0.80848,25,,,traditional
0.00000,Traditional RPL,1,26,1.00000,0.31818,0.00000,0.68182,,0.68182,0.68182,25,,,traditional
0.00000,Traditional RPL,2,6,1.00000,0.28141,0.00000,0.71859,,0.71859,0.71859,18,,,traditional
0.00000,Traditional RPL,2,18,1.00000,0.13214,0.00000,0.86786,,0.86786,0.86786,18,,,traditional
0.00000,Traditional RPL,2,22,1.00000,0.34409,0.00000,0.65591,,0.65591,0.65591,18,,,traditional
0.00000,Traditional RPL,2,26,1.00000,0.31818,0.00000,0.68182,,0.68182,0.68182,18,,,traditional
0.00000,Traditional RPL,18,0,1.00000,0.00000,0.00000,1.00000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,3,0,1.00000,0.00000,0.10000,0.95000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,3,8,1.00000,0.15648,0.00000,0.84352,,0.84352,0.84352,0,,,traditional
0.00000,Traditional RPL,3,25,0.99800,0.19152,0.10000,0.75848,,0.80848,0.80848,0,,,traditional
0.00000,Traditional RPL,3,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
0.00000,Traditional RPL,4,1,0.99273,0.49503,0.00000,0.50497,,0.50497,0.50497,13,,,traditional
0.00000,Traditional RPL,4,13,1.00000,0.48554,0.00000,0.51446,,0.51446,0.51446,13,,,traditional
0.00000,Traditional RPL,4,21,1.00000,0.49812,0.00000,0.50188,,0.50188,0.50188,13,,,traditional
0.00000,Traditional RPL,13,15,1.00000,0.36265,0.00000,0.63735,,0.63735,0.63735,25,,,traditional
